Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
Date of Games N/A,Hilbert,,,W,2,0,N
,St. John Fisher,,,L,0,2,N
,LeMoyne,,,W,3,0,N
,Clarkson,,,W,2,0,N
,Elmira,,,W,2,1,N
,Hilbert,,,W,2,1,N
,Potsdam,,,W,2,0,Y
,Hamilton,,,W,3,2,N
,Oneonta,,,L,2,3,Y
,Nazareth,,,W,2,1,N
,SUNYIT,,,W,3,0,N
,Brockport,,,L,0,3,Y
,Buffalo State,,,W,3,0,Y
,Geneseo,,,W,3,1,Y
,Fredonia,,,W,3,1,Y
,Clarkson,,,W,3,0,N
,Russell Sage,,,W,2,0,N
,SUNYIT,,,W,2,0,N
,Binghamton,,,L,1,2,N
,Hartwick,,,W,2,0,N
,Potsdam,,,W,2,0,Y
,Keuka,,,W,2,0,N
,Elmira,,,W,3,1,N
,SUNYIT,,,W,3,0,N
,Buffalo State,,,W,3,0,Y
,Fredonia,,,W,3,0,Y
,Geneseo,,,W,3,1,Y
,Brockport,,,L,1,3,Y
,St. Lawrence,,,W,3,0,N
,Potsdam,,,W,3,2,Y
,Cortland,,,L,1,3,Y
,Oneonta,,,W,2,1,Y
,Vasser,,,W,2,1,N
,RIT,,,L,0,2,N
,Stony Brook,,,L,0,2,N
